"class","y","x"
"mean","0.001","0"
"mean","0.008","0.01"
"mean","0.022","0.02"
"mean","0.039","0.03"
"mean","0.06","0.04"
"mean","0.083","0.051"
"mean","0.107","0.061"
"mean","0.131","0.071"
"mean","0.155","0.081"
"mean","0.179","0.091"
"mean","0.203","0.101"
"mean","0.228","0.111"
"mean","0.251","0.121"
"mean","0.276","0.131"
"mean","0.298","0.141"
"mean","0.32","0.152"
"mean","0.338","0.162"
"mean","0.356","0.172"
"mean","0.376","0.182"
"mean","0.389","0.192"
"mean","0.405","0.202"
"mean","0.413","0.212"
"mean","0.425","0.222"
"mean","0.433","0.232"
"mean","0.443","0.242"
"mean","0.454","0.253"
"mean","0.463","0.263"
"mean","0.467","0.273"
"mean","0.476","0.283"
"mean","0.484","0.293"
"mean","0.493","0.303"
"mean","0.494","0.313"
"mean","0.498","0.323"
"mean","0.502","0.333"
"mean","0.508","0.343"
"mean","0.513","0.354"
"mean","0.519","0.364"
"mean","0.524","0.374"
"mean","0.526","0.384"
"mean","0.526","0.394"
"mean","0.534","0.404"
"mean","0.536","0.414"
"mean","0.538","0.424"
"mean","0.541","0.434"
"mean","0.542","0.444"
"mean","0.545","0.455"
"mean","0.546","0.465"
"mean","0.548","0.475"
"mean","0.552","0.485"
"mean","0.554","0.495"
"mean","0.552","0.505"
"mean","0.553","0.515"
"mean","0.554","0.525"
"mean","0.557","0.535"
"mean","0.555","0.545"
"mean","0.558","0.556"
"mean","0.558","0.566"
"mean","0.556","0.576"
"mean","0.557","0.586"
"mean","0.553","0.596"
"mean","0.551","0.606"
"mean","0.546","0.616"
"mean","0.543","0.626"
"mean","0.542","0.636"
"mean","0.538","0.646"
"mean","0.531","0.657"
"mean","0.52","0.667"
"mean","0.508","0.677"
"mean","0.495","0.687"
"mean","0.489","0.697"
"mean","0.482","0.707"
"mean","0.469","0.717"
"mean","0.455","0.727"
"mean","0.443","0.737"
"mean","0.421","0.747"
"mean","0.405","0.758"
"mean","0.381","0.768"
"mean","0.361","0.778"
"mean","0.33","0.788"
"mean","0.277","0.798"
"mean","0.224","0.808"
"mean","0.17","0.818"
"mean","0.121","0.828"
"mean","0.069","0.838"
"mean","0.035","0.848"
"mean","0.011","0.859"
"mean","0.006","0.869"
"mean","0","0.879"
"mean","0","0.889"
"mean","0","0.899"
"mean","0","0.909"
"mean","0","0.919"
"mean","0","0.929"
"mean","0","0.939"
"mean","0","0.949"
"mean","0","0.96"
"mean","0","0.97"
"mean","0","0.98"
"mean","0","0.99"
"mean","0","1"
"pothole","0.001","0"
"pothole","0.008","0.01"
"pothole","0.022","0.02"
"pothole","0.039","0.03"
"pothole","0.06","0.04"
"pothole","0.083","0.051"
"pothole","0.107","0.061"
"pothole","0.131","0.071"
"pothole","0.155","0.081"
"pothole","0.179","0.091"
"pothole","0.203","0.101"
"pothole","0.228","0.111"
"pothole","0.251","0.121"
"pothole","0.276","0.131"
"pothole","0.298","0.141"
"pothole","0.32","0.152"
"pothole","0.338","0.162"
"pothole","0.356","0.172"
"pothole","0.376","0.182"
"pothole","0.389","0.192"
"pothole","0.405","0.202"
"pothole","0.413","0.212"
"pothole","0.425","0.222"
"pothole","0.433","0.232"
"pothole","0.443","0.242"
"pothole","0.454","0.253"
"pothole","0.463","0.263"
"pothole","0.467","0.273"
"pothole","0.476","0.283"
"pothole","0.484","0.293"
"pothole","0.493","0.303"
"pothole","0.494","0.313"
"pothole","0.498","0.323"
"pothole","0.502","0.333"
"pothole","0.508","0.343"
"pothole","0.513","0.354"
"pothole","0.519","0.364"
"pothole","0.524","0.374"
"pothole","0.526","0.384"
"pothole","0.526","0.394"
"pothole","0.534","0.404"
"pothole","0.536","0.414"
"pothole","0.538","0.424"
"pothole","0.541","0.434"
"pothole","0.542","0.444"
"pothole","0.545","0.455"
"pothole","0.546","0.465"
"pothole","0.548","0.475"
"pothole","0.552","0.485"
"pothole","0.554","0.495"
"pothole","0.552","0.505"
"pothole","0.553","0.515"
"pothole","0.554","0.525"
"pothole","0.557","0.535"
"pothole","0.555","0.545"
"pothole","0.558","0.556"
"pothole","0.558","0.566"
"pothole","0.556","0.576"
"pothole","0.557","0.586"
"pothole","0.553","0.596"
"pothole","0.551","0.606"
"pothole","0.546","0.616"
"pothole","0.543","0.626"
"pothole","0.542","0.636"
"pothole","0.538","0.646"
"pothole","0.531","0.657"
"pothole","0.52","0.667"
"pothole","0.508","0.677"
"pothole","0.495","0.687"
"pothole","0.489","0.697"
"pothole","0.482","0.707"
"pothole","0.469","0.717"
"pothole","0.455","0.727"
"pothole","0.443","0.737"
"pothole","0.421","0.747"
"pothole","0.405","0.758"
"pothole","0.381","0.768"
"pothole","0.361","0.778"
"pothole","0.33","0.788"
"pothole","0.277","0.798"
"pothole","0.224","0.808"
"pothole","0.17","0.818"
"pothole","0.121","0.828"
"pothole","0.069","0.838"
"pothole","0.035","0.848"
"pothole","0.011","0.859"
"pothole","0.006","0.869"
"pothole","0","0.879"
"pothole","0","0.889"
"pothole","0","0.899"
"pothole","0","0.909"
"pothole","0","0.919"
"pothole","0","0.929"
"pothole","0","0.939"
"pothole","0","0.949"
"pothole","0","0.96"
"pothole","0","0.97"
"pothole","0","0.98"
"pothole","0","0.99"
"pothole","0","1"